No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"study music",49500,"$1.56",1,33
2,"classical study music",12100,"$2.94",1,17
3,"study music classical",12100,"$2.94",1,17
4,"study music on Youtube",8100,"$0.51",1,8
5,"Study music youtube",8100,"$0.51",1,16
6,"study music on youtube",8100,"$1.03",1,8
7,"study music youtube",8100,"$1.03",1,16
8,"you tube study music",8100,"$1.03",1,8
9,"youtube study music",8100,"$1.03",1,16
10,"relax study music",2900,"$2.42",2,14
11,"relaxing study music",2900,"$2.42",2,14
12,"piano study music",1900,"$1.81",2,14
13,"study music piano",1900,"$1.81",2,14
14,"study music focus music",1900,"$0.55",1,6
15,"best study music",1900,"$0",1,14
16,"calm study music",1600,"$1.74",1,14
17,"calming study music",1600,"$1.74",1,14
18,"concentration study music",1600,"$1.00",1,14
19,"study music concentrate",1600,"$1.00",1,14
20,"study music concentration",1600,"$1.00",1,14

1.1, "mozart study music", 1000, "$3.72",1,14
2.2,"classical study music piano",260,"$14.77",2,6
