No	Title	Channel	Views	Age	Keyword in Title	Added in last 7 days
1	Study Music Alpha Waves: Relaxing Studying Music, Brain Power, Focus Concentration Music, ☯161	Yellow Brick Cinema - Relaxing Music	153M	6 years ago	✔	
2	Ambient Study Music To Concentrate - 4 Hours of Music for Studying, Concentration and Memory	Quiet Quest - Study Music	9.7M	1 year ago	✔	
3	lofi hip hop radio - beats to relax/study to	ChilledCow	53K	-		
4	Calm Piano Music 24/7: study music, focus, think, meditation, relaxing music	relaxdaily	4K	-	✔	
5	🔴 Relaxing Music 24/7, Stress Relief Music, Meditation Music, Sleep Music, Zen, Study, Meditation	Yellow Brick Cinema - Relaxing Music	4K	-		
6	1 A.M Study Session 📚 - [lofi hip hop/chill beats]	ChilledCow	35M	1 year ago		
7	4 Hours of Ambient Study Music to Concentrate - Deep Focus Music for Studying	Quiet Quest - Study Music	4.2M	9 months ago	✔	
8	ｈｏｍｅｗｏｒｋ ＆ ｓｔｕｄｙ （ミュージック）	R L I F E	16M	2 years ago		
9	Focus Music for Work and Studying, Background Music for Concentration, Study Music	Greenred Productions - Relaxing Music	5M	7 months ago	✔	
10	🔴 Deep Sleep Music 24/7, Calming Music, Sleep Music, Insomnia, Meditation Music, Study Music, Sleep	Yellow Brick Cinema - Relaxing Music	2.7K	-	✔	
11	Super Intelligence - Binaural Beats Focus Music, Study Music for Concentration	Greenred Productions - Relaxing Music	433	-	✔	
12	Relaxing Bossa Nova & Jazz Music For Study - Smooth Jazz Music - Background Music	Cafe Music BGM channel	18M	2 years ago		
-	Ambient Music for Studying - 4 Hours of Music To Improve Focus and Concentration	Quiet Quest - Study Music	n/a	n/a		
-	Increase Brain Power, Focus Music, Reduce Anxiety, Binaural and Isochronic Beats	Music for body and spirit - Meditation music	n/a	n/a		
-	Music For Concentration And Focus While Studying - 3 Hours of Ambient Study Music	Quiet Quest - Study Music	n/a	n/a		
13	4 Hours Classical Music for Studying, Relaxation & Concentration	HALIDONMUSIC	1.7M	11 months ago		
14	Classical Piano Music by Mozart 🎼 Relaxing Piano Sonata for Concentration 📙 Best Study Music	Just Instrumental Music	21M	3 years ago	✔	
15	Ambient Study Music To Concentrate - 4 Hours of Music for Studying, Concentration and Memory	Quiet Quest - Study Music	2.7M	1 year ago	✔	
16	4 Hours of Ambient Study Music To Concentrate - Improve your Focus and Concentration	Quiet Quest - Study Music	9.1M	11 months ago	✔	
17	Deep Focus - Music For Studying, Concentration and Work	Quiet Quest - Study Music	5.5M	1 year ago		
18	THURSDAY MORNING JAZZ: Happy Mood Jazz & January Bossa Nova Instrumental Music	Cafe Music BGM channel	2.7K	-		
19	Lofi hip hop mix~ beats to relax/study to ~ focus music	Tunable Music	188K	1 month ago		
